1 15 15  597386942813 252917418
2 18 7  296272967504 2128475235
3 31 23  474032564948 2289265102
4 62 12  12647475990 172089626
5 6 15  80085545052 617456589
6 6 2  484022229708 347870489
7 62 12  144854613785 86747831
8 31 23  596436034467 2152395488
9 31 4  309321548666 56944448
10 6 1  259230593591 82547897
11 62 31  329269006644 883306467
12 9 6  553089393191 7437031609
13 37 4  316113142818 200340137
14 31 23  328460088495 501959422
15 62 4  259201936056 52672887
16 31 11  474916714900 37074904
17 62 79  383102069272 975010026
18 62 15  155937028071 123258768
19 62 63  284359378118 1877781867
20 7 4  102459196086 539504223
21 62 31  135369062607 373695010
22 62 7  150436094818 10791383845
23 24 25  262767554034 563954996
24 31 7  335717741903 18720603852
25 3 0  129135028542 35223864
26 6 6  487719312397 553706215
27 62 4  530166450290 471531737
28 31 4  69928978248 84390387
29 31 95  68534344220 103246441
30 31 11  375920036725 42400898
31 31 11  398437743747 147674973
32 15 15  556178247931 304016260
33 12 3  439506224723 31079941
34 12 4  573071400741 84457649
35 31 23  524442188499 2378165634
36 12 4  23739691792 253956893
37 0 3  601335921881 14854313
38 6 3  51019283701 63843496
39 9 12  245533483922 262754021
40 56 15  51334685225 889620114
41 62 4  540601408119 34901802
42 62 12  513483598516 133549394
43 0 3  371294505471 49034691
44 125 31  66633364095 1677146479
45 62 31  126024546676 456125637
46 12 4  230699377255 1116733750
47 6 1  592323954884 83764104
48 6 1  78229575071 117073509
49 6 2  581499616065 27947449
50 31 11  473115169815 36593761
51 15 15  599218273482 94408302
52 62 12  250203818367 128591358
53 68 47  233028284516 249875499
54 62 7  486755379067 3163894361
55 6 1  433221345778 57976190
56 0 3  266355057781 442317773
57 0 4  360700585822 7012012104
58 49 6  526462382916 219927504
59 6 4  440257597979 562276104
60 6 1  7830135116 30270899
61 68 47  466566563990 75988573
62 6 2  460171497564 126504621
63 12 3  182424985818 49335143
64 9 12  529489744184 84098861
65 62 31  124924516275 131642405
66 6 1  465331799098 37570380
67 125 63  122218551564 125622770
68 12 4  564765244514 510745763
69 62 4  288739975488 97640161
70 62 15  172599146884 795687622
71 62 12  308285547907 112271585
72 12 3  68132530993 41962371
73 31 31  365135202298 175377547
74 62 63  281633104242 2011994282
75 28 47  288937487053 81135686
76 7 4  134988352664 850035865
77 62 7  227307511065 664688202
78 46 63  314163901300 623233900
79 31 4  161731947615 92791635
80 9 7  529536340965 81967234
81 31 1  521715721835 8699734397
82 46 63  182887552148 589620464
83 6 3  250832174406 41063380
84 6 2  407936407291 518926185
85 15 15  334636471091 117108394
86 131 37  159832167859 292777495
87 12 4  328778415969 414285663
88 68 47  105696778180 220674691
89 62 7  335144429855 88361601
90 3 0  244333154351 47022630
91 62 21  478048509019 100532376
92 42 77  592827303842 1673668568
93 31 4  497722153792 366942840
94 62 15  107586712801 143033479
95 12 4  507732622845 578449344
96 12 7  531156203826 55086820
97 31 11  312014084421 46057586
98 6 5  461837766080 2928896321
99 31 23  27679772796 1557727273
100 6 4  52748010632 48684213
101 62 7  529216035036 102692531
102 15 15  249622898657 158632862
103 31 7  139031045752 351264714
104 6 23  535005717814 73292161
105 62 31  290327042244 391445440
106 62 6  128080577666 135279237
107 62 31  409649657182 6006861445
108 12 15  227915953203 259212973
109 12 0  40500851062 15252003
110 9 12  101251898585 360534713
111 9 12  107280697653 253426267
112 9 15  211207313603 86212266
113 60 11  483961534634 221430393
114 68 47  452280963897 69229576
115 7 4  23261020715 333070724
116 12 11  466386847539 115311335
117 12 3  70599350144 165125299
118 31 3  194642632888 371535168
119 125 318  521456225005 3752606572
120 12 15  600184806963 48040884
121 3 0  120177941744 79547266
122 6 1  89282181757 256948604
123 6 2  460345479917 417525522
124 12 0  590100497669 17237513
125 12 3  242173401264 310248549
126 62 7  278496980322 161394479
127 12 3  434435999353 33338517
128 49 6  400992704792 240721902
129 62 12  417243438430 311702562
130 31 23  194715375318 727674434
131 62 15  476407445612 1220266534
132 31 7  392488010291 61577669
133 6 3  10587571789 366973440
134 68 47  332255366740 851054203
135 6 1  386380840821 113736514
136 62 6  290672112158 168171245
137 62 15  191719407177 7448886514
138 31 11  185095005348 188071284
139 62 6  5347021602 116294846
140 62 12  139565366091 57170909
141 31 31  411241619962 174213448
142 6 4  236347363304 56290728
143 0 3  32913507600 48842656
144 62 47  347935237030 2165366235
145 62 47  85459071213 912417615
146 68 47  408324991213 82280015
147 31 15  66974350794 38223079
148 62 6  36649021314 524231632
149 13 15  135781912283 286578756
150 12 7  532272804051 347360167
151 31 15  84439979641 33613782
152 84 18  212694396213 141487874
153 12 1  563402607878 45794905
154 62 12  595323199027 138508205
155 10 6  69881919180 79049758
