1 15 15  597386942813 252917418
2 18 7  296272967504 2128475235
3 31 23  474032564948 2289265102
4 62 12  12647475990 172089626
5 6 15  80085545052 617456589
6 6 2  484022229708 347870489
7 62 12  144854613785 86747831
8 31 23  596436034467 2152395488
9 6 1  259230593591 82547897
10 62 31  329269006644 883306467
11 9 6  553089393191 7437031609
12 37 4  316113142818 200340137
13 31 23  328460088495 501959422
14 62 79  383102069272 975010026
15 62 15  155937028071 123258768
16 62 63  284359378118 1877781867
17 7 4  102459196086 539504223
18 62 31  135369062607 373695010
19 62 7  150436094818 10791383845
20 24 25  262767554034 563954996
21 31 7  335717741903 18720603852
22 6 6  487719312397 553706215
23 62 4  530166450290 471531737
24 31 4  69928978248 84390387
25 31 95  68534344220 103246441
26 31 11  398437743747 147674973
27 15 15  556178247931 304016260
28 12 4  573071400741 84457649
29 31 23  524442188499 2378165634
30 12 4  23739691792 253956893
31 6 3  51019283701 63843496
32 9 12  245533483922 262754021
33 56 15  51334685225 889620114
34 62 12  513483598516 133549394
35 62 31  126024546676 456125637
36 12 4  230699377255 1116733750
37 6 1  592323954884 83764104
38 6 1  78229575071 117073509
39 15 15  599218273482 94408302
40 62 12  250203818367 128591358
41 68 47  233028284516 249875499
42 62 7  486755379067 3163894361
43 0 3  266355057781 442317773
44 0 4  360700585822 7012012104
45 49 6  526462382916 219927504
46 6 4  440257597979 562276104
47 68 47  466566563990 75988573
48 6 2  460171497564 126504621
49 9 12  529489744184 84098861
50 62 31  124924516275 131642405
51 12 4  564765244514 510745763
52 62 4  288739975488 97640161
53 62 15  172599146884 795687622
54 62 12  308285547907 112271585
55 31 31  365135202298 175377547
56 62 63  281633104242 2011994282
57 28 47  288937487053 81135686
58 7 4  134988352664 850035865
59 62 7  227307511065 664688202
60 46 63  314163901300 623233900
61 31 4  161731947615 92791635
62 9 7  529536340965 81967234
63 31 1  521715721835 8699734397
64 46 63  182887552148 589620464
65 6 2  407936407291 518926185
66 15 15  334636471091 117108394
67 12 4  328778415969 414285663
68 68 47  105696778180 220674691
69 62 7  335144429855 88361601
70 62 21  478048509019 100532376
71 42 77  592827303842 1673668568
72 31 4  497722153792 366942840
73 62 15  107586712801 143033479
74 12 4  507732622845 578449344
75 6 5  461837766080 2928896321
76 31 23  27679772796 1557727273
77 62 7  529216035036 102692531
78 15 15  249622898657 158632862
79 31 7  139031045752 351264714
80 6 23  535005717814 73292161
81 62 31  290327042244 391445440
82 62 6  128080577666 135279237
83 62 31  409649657182 6006861445
84 12 15  227915953203 259212973
85 9 12  101251898585 360534713
86 9 12  107280697653 253426267
87 9 15  211207313603 86212266
88 60 11  483961534634 221430393
89 68 47  452280963897 69229576
90 7 4  23261020715 333070724
91 12 11  466386847539 115311335
92 12 3  70599350144 165125299
93 31 3  194642632888 371535168
94 3 0  120177941744 79547266
95 6 1  89282181757 256948604
96 6 2  460345479917 417525522
97 12 3  242173401264 310248549
98 62 7  278496980322 161394479
99 49 6  400992704792 240721902
100 62 12  417243438430 311702562
101 31 23  194715375318 727674434
102 62 15  476407445612 1220266534
103 31 7  392488010291 61577669
104 6 3  10587571789 366973440
105 68 47  332255366740 851054203
106 6 1  386380840821 113736514
107 62 6  290672112158 168171245
108 62 15  191719407177 7448886514
109 31 11  185095005348 188071284
110 62 6  5347021602 116294846
111 31 31  411241619962 174213448
112 62 47  347935237030 2165366235
113 62 47  85459071213 912417615
114 68 47  408324991213 82280015
115 62 6  36649021314 524231632
116 13 15  135781912283 286578756
117 12 7  532272804051 347360167
118 84 18  212694396213 141487874
119 62 12  595323199027 138508205
120 10 6  69881919180 79049758
121 62 9  346974466533 2633976289
122 15 15  390350936464 175968873
123 62 63  184984992246 999437828
124 31 23  49248165514 1338257748
125 12 11  17191792980 172389737
126 43 7  557818953603 150094529
127 68 47  281190891463 226485809
128 12 4  184593593274 113663037
129 68 47  421336179307 197893481
130 68 47  20534986404 593093053
131 13 31  541889214706 1488390523
132 49 6  238472592140 232888693
133 19 15  24102080998 437821055
134 62 6  445886315338 127535483
135 31 7  537830442955 4685583349
136 9 12  344881361484 349641850
137 24 25  603644023781 6512411788
138 62 12  98538196708 128713374
139 6 2  555296228234 310816766
140 6 3  354800807314 4824201869
141 22 4  508388146108 667125775
142 6 3  150500851303 416017821
143 31 11  365117543288 85115978
144 31 4  267803697191 2825287018
145 62 15  134056854523 101730294
146 9 15  537310631463 151908042
147 68 47  439060195442 282252454
148 9 15  595490091446 66593056
149 31 18  288624971162 341553867
150 6 2  469049059345 2287570499
151 68 47  266308151604 263921411
152 56 47  453825411249 318151665
153 62 12  131884972505 249549073
154 31 11  127594799909 84522669
155 31 7  534287227574 2457393240
